Text,Timestamp,User,Platform,Hashtags,Retweets,Likes,Country,Year,Month,Day,Hour,DayOfWeek,TimePeriod,CleanedText,ComputedSentiment,ExtractedHashtags
 Just published a new blog post. Check it out!      ,2023-01-17 15:15:00, BloggerX     ,Instagram, #Blogging #NewPost                      ,22.0,45.0,Usa,2023,1,17,15,Tuesday,Afternoon,just published a new blog post check it out,Positive,"['#Blogging', '#NewPost']"
 Feeling a bit under the weather today.             ,2023-01-18 10:30:00, WellnessCheck,Twitter, #SickDay #Health                        ,7.0,15.0,Canada,2023,1,18,10,Wednesday,Morning,feeling a bit under the weather today,Neutral,"['#SickDay', '#Health']"
 Exploring the city's hidden gems.                  ,2023-01-18 14:50:00, UrbanExplorer,Facebook, #CityExplore #HiddenGems                ,12.0,25.0,Uk,2023,1,18,14,Wednesday,Afternoon,exploring the citys hidden gems,Negative,"['#CityExplore', '#HiddenGems']"
" New year, new fitness goals! 💪                    ",2023-01-18 18:00:00, FitJourney   ,Instagram, #NewYear #FitnessGoals                  ,28.0,55.0,Usa,2023,1,18,18,Wednesday,Evening,new year new fitness goals,Positive,"['#NewYear', '#FitnessGoals']"
 Technology is changing the way we live.            ,2023-01-19 09:45:00, TechEnthusiast,Twitter, #Tech #Innovation                       ,15.0,30.0,India,2023,1,19,9,Thursday,Morning,technology is changing the way we live,Positive,"['#Tech', '#Innovation']"
 Reflecting on the past and looking ahead.          ,2023-01-19 13:20:00, Reflections  ,Facebook, #Reflection #Future                     ,20.0,40.0,Usa,2023,1,19,13,Thursday,Afternoon,reflecting on the past and looking ahead,Negative,"['#Reflection', '#Future']"
 Just adopted a cute furry friend! 🐾              ,2023-01-19 17:10:00, PetAdopter   ,Instagram, #PetAdoption #FurryFriend               ,15.0,30.0,Canada,2023,1,19,17,Thursday,Evening,just adopted a cute furry friend,Positive,"['#PetAdoption', '#FurryFriend']"
 Late-night gaming session with friends.            ,2023-01-20 00:05:00, GamerX       ,Twitter, #Gaming #LateNight                      ,18.0,35.0,Uk,2023,1,20,0,Friday,Evening,latenight gaming session with friends,Neutral,"['#Gaming', '#LateNight']"
 Attending a virtual conference on AI.              ,2023-01-20 11:30:00, TechConference,Facebook, #AI #TechConference                     ,25.0,50.0,Usa,2023,1,20,11,Friday,Morning,attending a virtual conference on ai,Neutral,"['#AI', '#TechConference']"
 Winter blues got me feeling low.                   ,2023-01-20 15:15:00, WinterBlues  ,Instagram, #WinterBlues #Mood                      ,8.0,15.0,Usa,2023,1,20,15,Friday,Afternoon,winter blues got me feeling low,Neutral,"['#WinterBlues', '#Mood']"
 Sipping coffee and enjoying a good book.           ,2023-01-21 08:40:00, Bookworm     ,Twitter, #Reading #CoffeeTime                    ,22.0,45.0,India,2023,1,21,8,Saturday,Morning,sipping coffee and enjoying a good book,Positive,"['#Reading', '#CoffeeTime']"
 Exploring the world of virtual reality.            ,2023-01-21 13:20:00, VRExplorer   ,Facebook, #VR #VirtualReality                     ,15.0,30.0,Usa,2023,1,21,13,Saturday,Afternoon,exploring the world of virtual reality,Neutral,"['#VR', '#VirtualReality']"
 Productive day ticking off my to-do list.          ,2023-01-21 16:45:00, ProductivityPro,Instagram, #Productivity #WorkFromHome           ,30.0,60.0,Usa,2023,1,21,16,Saturday,Afternoon,productive day ticking off my todo list,Neutral,"['#Productivity', '#WorkFromHome']"
 Just finished a challenging workout routine.       ,2023-01-22 09:15:00, FitnessWarrior,Twitter, #Fitness #ChallengeAccepted             ,20.0,40.0,Uk,2023,1,22,9,Sunday,Morning,just finished a challenging workout routine,Positive,"['#Fitness', '#ChallengeAccepted']"
 Celebrating a milestone at work! 🎉               ,2023-01-22 14:30:00, CareerMilestone,Facebook, #Career #Milestone                      ,12.0,25.0,Canada,2023,1,22,14,Sunday,Afternoon,celebrating a milestone at work,Neutral,"['#Career', '#Milestone']"
 Sunday brunch with friends.                        ,2023-01-22 12:00:00, BrunchBuddy  ,Instagram, #Brunch #Friends                       ,15.0,30.0,Uk,2023,1,22,12,Sunday,Afternoon,sunday brunch with friends,Neutral,"['#Brunch', '#Friends']"
 Learning a new language for personal growth.       ,2023-01-23 16:20:00, LanguageLearner,Facebook, #LanguageLearning #PersonalGrowth       ,25.0,50.0,India,2023,1,23,16,Monday,Afternoon,learning a new language for personal growth,Neutral,"['#LanguageLearning', '#PersonalGrowth']"
 Quiet evening with a good book.                    ,2023-01-23 19:45:00, BookLover    ,Instagram, #Reading #QuietTime                     ,15.0,30.0,Australia,2023,1,23,19,Monday,Evening,quiet evening with a good book,Positive,"['#Reading', '#QuietTime']"
 Reflecting on the importance of mental health.     ,2023-01-24 11:30:00, MentalHealthMatters,Twitter, #MentalHealth #SelfCare                 ,22.0,45.0,Usa,2023,1,24,11,Tuesday,Morning,reflecting on the importance of mental health,Neutral,"['#MentalHealth', '#SelfCare']"
 New painting in progress! 🎨                       ,2023-01-24 15:00:00, ArtistInAction,Facebook, #Art #PaintingInProgress             ,12.0,25.0,Canada,2023,1,24,15,Tuesday,Afternoon,new painting in progress,Positive,"['#Art', '#PaintingInProgress']"
 Weekend road trip to explore scenic views.         ,2023-01-24 17:30:00, RoadTripper  ,Instagram, #RoadTrip #ScenicViews                  ,18.0,35.0,Uk,2023,1,24,17,Tuesday,Evening,weekend road trip to explore scenic views,Neutral,"['#RoadTrip', '#ScenicViews']"
 Enjoying a cup of tea and watching the sunset.     ,2023-01-25 18:00:00, SunsetWatcher,Twitter, #TeaTime #Sunset                       ,15.0,30.0,India,2023,1,25,18,Wednesday,Evening,enjoying a cup of tea and watching the sunset,Positive,"['#TeaTime', '#Sunset']"
 Coding a new project with enthusiasm.              ,2023-01-25 13:15:00, CodeEnthusiast,Facebook, #Coding #Enthusiasm                   ,30.0,60.0,Usa,2023,1,25,13,Wednesday,Afternoon,coding a new project with enthusiasm,Positive,"['#Coding', '#Enthusiasm']"
 Feeling inspired after attending a workshop.       ,2023-01-26 09:45:00, WorkshopAttendee,Instagram, #Inspiration #Workshop                  ,25.0,50.0,Usa,2023,1,26,9,Thursday,Morning,feeling inspired after attending a workshop,Neutral,"['#Inspiration', '#Workshop']"
 Winter sports day at the local park.               ,2023-01-26 14:20:00, WinterSports  ,Twitter, #WinterSports #Fun                     ,15.0,30.0,Canada,2023,1,26,14,Thursday,Afternoon,winter sports day at the local park,Neutral,"['#WinterSports', '#Fun']"
 Quality time with family this weekend.             ,2023-01-26 17:40:00, FamilyTime   ,Facebook, #FamilyTime #Weekend                    ,22.0,45.0,Uk,2023,1,26,17,Thursday,Evening,quality time with family this weekend,Neutral,"['#FamilyTime', '#Weekend']"
 Attending a live music concert tonight.            ,2023-01-27 20:00:00, MusicLover   ,Instagram, #Music #ConcertNight                  ,18.0,35.0,Usa,2023,1,27,20,Friday,Evening,attending a live music concert tonight,Positive,"['#Music', '#ConcertNight']"
 Practicing mindfulness with meditation.            ,2023-01-27 12:30:00, MindfulMoments,Twitter, #Mindfulness #Meditation               ,15.0,30.0,India,2023,1,27,12,Friday,Afternoon,practicing mindfulness with meditation,Neutral,"['#Mindfulness', '#Meditation']"
 Trying out a new dessert recipe.                   ,2023-01-27 16:10:00, DessertExplorer,Facebook, #Dessert #Cooking                      ,12.0,25.0,Canada,2023,1,27,16,Friday,Afternoon,trying out a new dessert recipe,Positive,"['#Dessert', '#Cooking']"
 Excited about the upcoming gaming tournament.      ,2023-01-28 09:00:00, GamingEnthusiast,Instagram, #Gaming #Tournament                     ,30.0,60.0,Usa,2023,1,28,9,Saturday,Morning,excited about the upcoming gaming tournament,Positive,"['#Gaming', '#Tournament']"
 Planning a garden makeover for spring.             ,2023-01-28 14:45:00, GardenPlanner ,Twitter, #Gardening #Spring                     ,25.0,50.0,Usa,2023,1,28,14,Saturday,Afternoon,planning a garden makeover for spring,Neutral,"['#Gardening', '#Spring']"
 Celebrating a friend's birthday tonight! 🎂       ,2023-01-28 19:30:00, BirthdayBash ,Facebook, #Birthday #Celebration                  ,15.0,30.0,Uk,2023,1,28,19,Saturday,Evening,celebrating a friends birthday tonight,Neutral,"['#Birthday', '#Celebration']"
 Feeling accomplished after a productive day.       ,2023-01-29 17:00:00, ProductivityWin,Instagram, #Accomplished #Success               ,22.0,45.0,India,2023,1,29,17,Sunday,Evening,feeling accomplished after a productive day,Positive,"['#Accomplished', '#Success']"
 A cozy evening with a good movie.                 ,2023-01-29 20:20:00, MovieNight   ,Twitter, #CozyNight #MovieTime                   ,18.0,35.0,Canada,2023,1,29,20,Sunday,Evening,a cozy evening with a good movie,Positive,"['#CozyNight', '#MovieTime']"
 Exploring local art galleries this weekend.        ,2023-01-30 11:30:00, ArtExplorer  ,Facebook, #Art #GalleryExplore                    ,15.0,30.0,Usa,2023,1,30,11,Monday,Morning,exploring local art galleries this weekend,Neutral,"['#Art', '#GalleryExplore']"
 New book release from my favorite author!          ,2023-01-30 15:45:00, BookwormX    ,Instagram, #BookRelease #FavoriteAuthor           ,12.0,25.0,Uk,2023,1,30,15,Monday,Afternoon,new book release from my favorite author,Positive,"['#BookRelease', '#FavoriteAuthor']"
 Attending a virtual reality meetup.                ,2023-01-30 18:30:00, VRMeetup     ,Twitter, #VRMeetup #VirtualReality               ,28.0,55.0,India,2023,1,30,18,Monday,Evening,attending a virtual reality meetup,Neutral,"['#VRMeetup', '#VirtualReality']"
 Reflecting on the beauty of nature.                ,2023-01-31 10:45:00, NatureLover  ,Facebook, #Nature #Reflection                     ,15.0,30.0,Australia,2023,1,31,10,Tuesday,Morning,reflecting on the beauty of nature,Neutral,"['#Nature', '#Reflection']"
 Cooking a special dinner for loved ones.           ,2023-01-31 19:00:00, ChefAtHome   ,Instagram, #Cooking #SpecialDinner                ,20.0,40.0,Usa,2023,1,31,19,Tuesday,Evening,cooking a special dinner for loved ones,Positive,"['#Cooking', '#SpecialDinner']"
 Feeling optimistic about the week ahead.           ,2023-01-31 16:20:00, OptimisticMindset,Twitter, #Optimism #NewWeek                     ,15.0,30.0,Canada,2023,1,31,16,Tuesday,Afternoon,feeling optimistic about the week ahead,Neutral,"['#Optimism', '#NewWeek']"
 Starting a new fitness challenge tomorrow! 💪     ,2023-02-01 08:00:00, FitnessChallenge,Facebook, #FitnessChallenge #NewBeginnings       ,22.0,45.0,Uk,2023,2,1,8,Wednesday,Morning,starting a new fitness challenge tomorrow,Neutral,"['#FitnessChallenge', '#NewBeginnings']"
 Sunday bike ride through scenic trails.           ,2023-02-01 13:30:00, BikeExplorer  ,Instagram, #BikeRide #ScenicTrails                ,18.0,35.0,Usa,2023,2,1,13,Wednesday,Afternoon,sunday bike ride through scenic trails,Neutral,"['#BikeRide', '#ScenicTrails']"
 Can't believe the injustice happening in our society.,2023-02-11 09:30:00, SocialJustice   ,Twitter, #Injustice #Angry                            ,20.0,40.0,Canada,2023,2,11,9,Saturday,Morning,cant believe the injustice happening in our society,Neutral,"['#Injustice', '#Angry']"
 Feeling a sense of fear after watching a thriller movie. ,2023-02-11 21:15:00, ThrillerFan     ,Instagram, #Fear #ThrillerMovie                         ,15.0,30.0,Usa,2023,2,11,21,Saturday,Evening,feeling a sense of fear after watching a thriller movie,Neutral,"['#Fear', '#ThrillerMovie']"
 Heartbroken after hearing the news about a natural disaster. ,2023-02-12 14:45:00, EmpathyFirst    ,Facebook, #Sadness #NaturalDisaster                    ,25.0,50.0,India,2023,2,12,14,Sunday,Afternoon,heartbroken after hearing the news about a natural disaster,Neutral,"['#Sadness', '#NaturalDisaster']"
 The state of the world's environment is just disgusting. ,2023-02-12 18:20:00, EcoAwareness    ,Twitter, #Disgust #Environment                        ,18.0,35.0,Uk,2023,2,12,18,Sunday,Evening,the state of the worlds environment is just disgusting,Negative,"['#Disgust', '#Environment']"
 Pure happiness: celebrating a loved one's achievement! ,2023-02-13 10:00:00, ProudFriend     ,Instagram, #Happiness #Celebration                   ,30.0,60.0,Usa,2023,2,13,10,Monday,Morning,pure happiness celebrating a loved ones achievement,Positive,"['#Happiness', '#Celebration']"
 Laughter is the best medicine—enjoying a comedy show. ,2023-02-13 19:30:00, ComedyFan       ,Facebook, #Joy #ComedyShow                             ,22.0,45.0,Canada,2023,2,13,19,Monday,Evening,laughter is the best medicineenjoying a comedy show,Positive,"['#Joy', '#ComedyShow']"
 Sharing love and positive vibes with everyone! ❤️      ,2023-02-14 08:30:00, LoveSpreader    ,Twitter, #Love #SpreadLove                            ,15.0,30.0,Australia,2023,2,14,8,Tuesday,Morning,sharing love and positive vibes with everyone,Positive,"['#Love', '#SpreadLove']"
 An amusing incident brightened up my day!               ,2023-02-14 14:20:00, AmusedSoul      ,Instagram, #Amusement #FunTimes                         ,18.0,35.0,Uk,2023,2,14,14,Tuesday,Afternoon,an amusing incident brightened up my day,Positive,"['#Amusement', '#FunTimes']"
 Enjoying a quiet evening with a book and some tea.      ,2023-02-14 19:45:00, BookLoverAgain  ,Facebook, #Enjoyment #BookTime                         ,25.0,50.0,Canada,2023,2,14,19,Tuesday,Evening,enjoying a quiet evening with a book and some tea,Positive,"['#Enjoyment', '#BookTime']"
 Admiring the beauty of nature during a peaceful hike.   ,2023-02-15 11:30:00, NatureAdmirer   ,Twitter, #Admiration #Nature                         ,20.0,40.0,Usa,2023,2,15,11,Wednesday,Morning,admiring the beauty of nature during a peaceful hike,Positive,"['#Admiration', '#Nature']"
 Sending affectionate vibes to all my followers!          ,2023-02-15 16:00:00, AffectionSender ,Instagram, #Affection #PositiveVibes                   ,15.0,30.0,Usa,2023,2,15,16,Wednesday,Afternoon,sending affectionate vibes to all my followers,Neutral,"['#Affection', '#PositiveVibes']"
 Experiencing awe at the breathtaking sunset.            ,2023-02-15 20:30:00, AweStruck       ,Facebook, #Awe #Breathtaking                          ,22.0,45.0,Australia,2023,2,15,20,Wednesday,Evening,experiencing awe at the breathtaking sunset,Positive,"['#Awe', '#Breathtaking']"
 Disappointed with the service at a local restaurant.    ,2023-02-16 09:00:00, FoodieGoneWrong ,Twitter, #Disappointed #BadService                   ,18.0,35.0,India,2023,2,16,9,Thursday,Morning,disappointed with the service at a local restaurant,Negative,"['#Disappointed', '#BadService']"
 A surprise gift from a friend made my day!              ,2023-02-16 14:45:00, HappySurprise   ,Instagram, #Surprise #Gift                              ,25.0,50.0,Usa,2023,2,16,14,Thursday,Afternoon,a surprise gift from a friend made my day,Neutral,"['#Surprise', '#Gift']"
 Finding acceptance in the midst of life's challenges.   ,2023-02-16 18:20:00, AcceptanceSeeker,Facebook, #Acceptance #Challenges                     ,15.0,30.0,Canada,2023,2,16,18,Thursday,Evening,finding acceptance in the midst of lifes challenges,Neutral,"['#Acceptance', '#Challenges']"
 Overflowing with adoration for my adorable pet! 🐾      ,2023-02-17 10:45:00, PetAdorer       ,Twitter, #Adoration #PetLove                         ,22.0,45.0,Uk,2023,2,17,10,Friday,Morning,overflowing with adoration for my adorable pet,Positive,"['#Adoration', '#PetLove']"
 Anticipating a thrilling adventure in the coming weeks. ,2023-02-17 07:30:00, AdventureAwaits  ,Instagram, #Anticipation #Adventure                    ,20.0,40.0,Usa,2023,2,17,7,Friday,Morning,anticipating a thrilling adventure in the coming weeks,Positive,"['#Anticipation', '#Adventure']"
 A bitter experience turned into a valuable lesson.      ,2023-02-17 15:00:00, LearnFromBitter ,Facebook, #BitterLesson #Growth                      ,18.0,35.0,Usa,2023,2,17,15,Friday,Afternoon,a bitter experience turned into a valuable lesson,Neutral,"['#BitterLesson', '#Growth']"
 Finding calmness in the midst of a busy day.            ,2023-02-18 09:30:00, ZenMaster       ,Twitter, #Calmness #PeacefulMind                    ,15.0,30.0,India,2023,2,18,9,Saturday,Morning,finding calmness in the midst of a busy day,Neutral,"['#Calmness', '#PeacefulMind']"
 Confusion clouds my mind as I navigate through decisions.,2023-02-18 14:20:00, ConfusedMind    ,Instagram, #Confusion #DecisionMaking                 ,25.0,50.0,Uk,2023,2,18,14,Saturday,Afternoon,confusion clouds my mind as i navigate through decisions,Neutral,"['#Confusion', '#DecisionMaking']"
 Excitement building up for the upcoming vacation!       ,2023-02-18 18:45:00, VacationDreamer ,Facebook, #Excitement #TravelPlans                   ,22.0,45.0,Canada,2023,2,18,18,Saturday,Evening,excitement building up for the upcoming vacation,Neutral,"['#Excitement', '#TravelPlans']"
 Kindness witnessed today restored my faith in humanity. ,2023-02-19 11:30:00, KindnessPrevails,Twitter, #Kindness #Humanity                        ,20.0,40.0,Usa,2023,2,19,11,Sunday,Morning,kindness witnessed today restored my faith in humanity,Neutral,"['#Kindness', '#Humanity']"
 Pride in achieving a personal milestone.               ,2023-02-19 16:00:00, PersonalAchiever,Instagram, #Pride #Milestone                           ,30.0,60.0,Australia,2023,2,19,16,Sunday,Afternoon,pride in achieving a personal milestone,Neutral,"['#Pride', '#Milestone']"
 A moment of shame for not standing up against injustice. ,2023-02-19 19:45:00, ReflectiveSelf  ,Facebook, #Shame #Injustice                           ,15.0,30.0,India,2023,2,19,19,Sunday,Evening,a moment of shame for not standing up against injustice,Neutral,"['#Shame', '#Injustice']"
 Fuming with anger after a heated argument.            ,2023-02-20 09:30:00, AngryDebater    ,Twitter, #Anger #Argument                             ,20.0,40.0,Canada,2023,2,20,9,Monday,Morning,fuming with anger after a heated argument,Negative,"['#Anger', '#Argument']"
 The fear of the unknown is keeping me up at night.    ,2023-02-20 21:15:00, FearfulDreamer  ,Instagram, #Fear #Unknown                               ,15.0,30.0,Usa,2023,2,20,21,Monday,Evening,the fear of the unknown is keeping me up at night,Neutral,"['#Fear', '#Unknown']"
 Heartfelt sadness after bidding farewell to a dear friend. ,2023-02-21 14:45:00, FarewellHeart   ,Facebook, #Sadness #Farewell                          ,25.0,50.0,India,2023,2,21,14,Tuesday,Afternoon,heartfelt sadness after bidding farewell to a dear friend,Neutral,"['#Sadness', '#Farewell']"
 The state of corruption in our society is utterly disgusting. ,2023-02-21 18:20:00, AntiCorruption  ,Twitter, #Disgust #Corruption                         ,18.0,35.0,Uk,2023,2,21,18,Tuesday,Evening,the state of corruption in our society is utterly disgusting,Negative,"['#Disgust', '#Corruption']"
 Overflowing happiness: welcoming a new family member!  ,2023-02-22 10:00:00, NewParentJoy    ,Instagram, #Happiness #NewFamilyMember                 ,30.0,60.0,Uk,2023,2,22,10,Wednesday,Morning,overflowing happiness welcoming a new family member,Positive,"['#Happiness', '#NewFamilyMember']"
 Laughter is the key to joy—attending a stand-up comedy show. ,2023-02-22 19:30:00, StandUpFan      ,Facebook, #Joy #StandUpComedy                         ,22.0,45.0,Canada,2023,2,22,19,Wednesday,Evening,laughter is the key to joyattending a standup comedy show,Neutral,"['#Joy', '#StandUpComedy']"
 Sending love to all my followers on this beautiful day! ❤️ ,2023-02-23 08:30:00, LoveSender      ,Twitter, #Love #SpreadLove                            ,15.0,30.0,Australia,2023,2,23,8,Thursday,Morning,sending love to all my followers on this beautiful day,Positive,"['#Love', '#SpreadLove']"
 Amused by the antics of my pet—it's pure amusement!      ,2023-02-23 14:20:00, PetAmuser       ,Instagram, #Amusement #PetAntics                       ,18.0,35.0,Uk,2023,2,23,14,Thursday,Afternoon,amused by the antics of my petits pure amusement,Positive,"['#Amusement', '#PetAntics']"
 Enjoying every moment of this trip—pure enjoyment!      ,2023-02-23 19:45:00, TravelExplorer  ,Facebook, #Enjoyment #Travel                           ,25.0,50.0,Usa,2023,2,23,19,Thursday,Evening,enjoying every moment of this trippure enjoyment,Positive,"['#Enjoyment', '#Travel']"
 Admiring the dedication of volunteers at a local charity. ,2023-02-24 11:30:00, CharityAdmirer  ,Twitter, #Admiration #Volunteers                     ,20.0,40.0,Usa,2023,2,24,11,Friday,Morning,admiring the dedication of volunteers at a local charity,Neutral,"['#Admiration', '#Volunteers']"
 Sending affectionate vibes to friends and family.        ,2023-02-24 16:00:00, FamilyLover     ,Instagram, #Affection #FamilyLove                      ,15.0,30.0,Usa,2023,2,24,16,Friday,Afternoon,sending affectionate vibes to friends and family,Neutral,"['#Affection', '#FamilyLove']"
 Awe-struck by the beauty of the night sky.               ,2023-02-24 20:30:00, Stargazer       ,Facebook, #Awe #StarryNight                        ,22.0,45.0,Australia,2023,2,24,20,Friday,Evening,awestruck by the beauty of the night sky,Neutral,"['#Awe', '#StarryNight']"
 Disappointed with the lack of progress in a personal project. ,2023-02-25 09:00:00, ProjectStruggle ,Twitter, #Disappointed #Project                     ,18.0,35.0,India,2023,2,25,9,Saturday,Morning,disappointed with the lack of progress in a personal project,Negative,"['#Disappointed', '#Project']"
 A surprise visit from an old friend brought tears of joy. ,2023-02-25 14:45:00, JoyfulReunion   ,Instagram, #Surprise #OldFriends                       ,25.0,50.0,Usa,2023,2,25,14,Saturday,Afternoon,a surprise visit from an old friend brought tears of joy,Positive,"['#Surprise', '#OldFriends']"
 Embracing acceptance of life's ups and downs.           ,2023-02-25 18:20:00, LifeAcceptance  ,Facebook, #Acceptance #LifeJourney                   ,15.0,30.0,Canada,2023,2,25,18,Saturday,Evening,embracing acceptance of lifes ups and downs,Neutral,"['#Acceptance', '#LifeJourney']"
 Overflowing adoration for a cute rescue puppy! 🐶       ,2023-02-26 10:45:00, PuppyAdmirer    ,Twitter, #Adoration #PuppyLove                       ,22.0,45.0,Uk,2023,2,26,10,Sunday,Morning,overflowing adoration for a cute rescue puppy,Positive,"['#Adoration', '#PuppyLove']"
 Anticipating the release of a much-awaited movie.       ,2023-02-26 07:30:00, MovieBuff2      ,Instagram, #Anticipation #MovieRelease                 ,20.0,40.0,Australia,2023,2,26,7,Sunday,Morning,anticipating the release of a muchawaited movie,Neutral,"['#Anticipation', '#MovieRelease']"
 Bitter experience at the customer service department.   ,2023-02-26 15:00:00, CustomerWoes    ,Facebook, #BitterExperience #CustomerService         ,18.0,35.0,Usa,2023,2,26,15,Sunday,Afternoon,bitter experience at the customer service department,Neutral,"['#BitterExperience', '#CustomerService']"
 Finding calmness amidst the chaos of daily life.        ,2023-02-27 09:30:00, CalmSoul        ,Twitter, #Calmness #InnerPeace                      ,15.0,30.0,India,2023,2,27,9,Monday,Morning,finding calmness amidst the chaos of daily life,Neutral,"['#Calmness', '#InnerPeace']"
 Confusion reigns as I try to make sense of recent events.,2023-02-27 14:20:00, ConfusedMind2   ,Instagram, #Confusion #MakingSense                    ,25.0,50.0,Uk,2023,2,27,14,Monday,Afternoon,confusion reigns as i try to make sense of recent events,Neutral,"['#Confusion', '#MakingSense']"
 Excitement building up for a surprise birthday party.   ,2023-02-27 18:45:00, BirthdayExcite  ,Facebook, #Excitement #SurpriseParty                 ,22.0,45.0,Canada,2023,2,27,18,Monday,Evening,excitement building up for a surprise birthday party,Neutral,"['#Excitement', '#SurpriseParty']"
 Witnessed an act of kindness that made my day.          ,2023-02-28 11:30:00, KindnessObserver,Twitter, #Kindness #ActsOfKindness                  ,20.0,40.0,Usa,2023,2,28,11,Tuesday,Morning,witnessed an act of kindness that made my day,Neutral,"['#Kindness', '#ActsOfKindness']"
 Pride in completing a challenging fitness challenge.    ,2023-02-28 16:00:00, FitAchiever     ,Instagram, #Pride #FitnessChallengeCompleted          ,30.0,60.0,Uk,2023,2,28,16,Tuesday,Afternoon,pride in completing a challenging fitness challenge,Positive,"['#Pride', '#FitnessChallengeCompleted']"
 A moment of shame for not speaking up against injustice.,2023-02-28 19:45:00, ReflectiveSelf2 ,Facebook, #Shame #Injustice                           ,15.0,30.0,India,2023,2,28,19,Tuesday,Evening,a moment of shame for not speaking up against injustice,Neutral,"['#Shame', '#Injustice']"
 Reflecting on the beauty of diversity in our world.     ,2023-03-01 10:45:00, DiversityLover  ,Twitter, #Acceptance #Diversity                      ,22.0,45.0,Australia,2023,3,1,10,Wednesday,Morning,reflecting on the beauty of diversity in our world,Neutral,"['#Acceptance', '#Diversity']"
 Excitement for a quiet evening with a good book.        ,2023-03-01 13:30:00, BookwormJoy     ,Instagram, #Excitement #BookTime                       ,18.0,35.0,Usa,2023,3,1,13,Wednesday,Afternoon,excitement for a quiet evening with a good book,Positive,"['#Excitement', '#BookTime']"
 Feeling bitter about the unfairness in the workplace.   ,2023-03-01 17:45:00, WorkplaceWoes   ,Twitter, #Bitter #Unfairness                         ,15.0,30.0,Canada,2023,3,1,17,Wednesday,Evening,feeling bitter about the unfairness in the workplace,Neutral,"['#Bitter', '#Unfairness']"
 Calmness prevails as I practice mindfulness.            ,2023-03-02 18:00:00, MindfulMe       ,Facebook, #Calmness #Mindfulness                      ,15.0,30.0,Uk,2023,3,2,18,Thursday,Evening,calmness prevails as i practice mindfulness,Neutral,"['#Calmness', '#Mindfulness']"
 Confusion surrounds me as I navigate through life's choices. ,2023-03-02 13:15:00, ConfusedMind3   ,Instagram, #Confusion #LifeChoices                     ,30.0,60.0,Usa,2023,3,2,13,Thursday,Afternoon,confusion surrounds me as i navigate through lifes choices,Neutral,"['#Confusion', '#LifeChoices']"
 Excitement for a weekend road trip to explore new places. ,2023-03-02 16:45:00, RoadTripper2    ,Twitter, #Excitement #WeekendAdventure               ,25.0,50.0,India,2023,3,2,16,Thursday,Afternoon,excitement for a weekend road trip to explore new places,Positive,"['#Excitement', '#WeekendAdventure']"
